Width	Length	Perimeter	Area
1	1	4		1
1	2	6		2
1	3	8		3
1	4	10		4
1	5	12		5
1	6	14		6
1	7	16		7
1	8	18		8
1	9	20		9
1	10	22		10
2	1	6		2
2	2	8		4
2	3	10		6
2	4	12		8
2	5	14		10
2	6	16		12
2	7	18		14
2	8	20		16
2	9	22		18
2	10	24		20
3	1	8		3
3	2	10		6
3	3	12		9
3	4	14		12
3	5	16		15
3	6	18		18
3	7	20		21
3	8	22		24
3	9	24		27
3	10	26		30
4	1	10		4
4	2	12		8
4	3	14		12
4	4	16		16
4	5	18		20
4	6	20		24
4	7	22		28
4	8	24		32
4	9	26		36
4	10	28		40
5	1	12		5
5	2	14		10
5	3	16		15
5	4	18		20
5	5	20		25
5	6	22		30
5	7	24		35
5	8	26		40
5	9	28		45
5	10	30		50
6	1	14		6
6	2	16		12
6	3	18		18
6	4	20		24
6	5	22		30
6	6	24		36
6	7	26		42
6	8	28		48
6	9	30		54
6	10	32		60
7	1	16		7
7	2	18		14
7	3	20		21
7	4	22		28
7	5	24		35
7	6	26		42
7	7	28		49
7	8	30		56
7	9	32		63
7	10	34		70
8	1	18		8
8	2	20		16
8	3	22		24
8	4	24		32
8	5	26		40
8	6	28		48
8	7	30		56
8	8	32		64
8	9	34		72
8	10	36		80
9	1	20		9
9	2	22		18
9	3	24		27
9	4	26		36
9	5	28		45
9	6	30		54
9	7	32		63
9	8	34		72
9	9	36		81
9	10	38		90
10	1	22		10
10	2	24		20
10	3	26		30
10	4	28		40
10	5	30		50
10	6	32		60
10	7	34		70
10	8	36		80
10	9	38		90
10	10	40		100
