Shape
------
Area = 638.7419370866951	Perimeter: 115.22153381859414	Triangle@4e25154f
Area = 3625.7773397491555	Perimeter: 240.85771201268705	Square@70dea4e
Area = 5189.016094520771	Perimeter: 255.35680795236811	Circle@5c647e05
Area = 12005.91336212638	Perimeter: 388.4208502029301	Circle@33909752
Area = 2035.2426336828948	Perimeter: 180.45465396859765	Square@55f96302
Area = 1262.9408192095982	Perimeter: 142.1515146150528	Square@3d4eac69
Area = 5315.208902549035	Perimeter: 258.44319484593217	Circle@42a57993
Area = 3555.9194597274086	Perimeter: 256.375994124075	Rectangle@75b84c92
Area = 95.69760007642682	Perimeter: 39.13006007180195	Square@6bc7c054
Area = 3572.977384784993	Perimeter: 272.5122756444307	Triangle@232204a1
Area = 5611.015481879234	Perimeter: 304.25879906945823	Rectangle@4aa298b7
Area = 7.436424653364008	Perimeter: 12.432344264675542	Triangle@7d4991ad
Area = 18926.76876781734	Perimeter: 487.68923595735714	Circle@28d93b30
Area = 3672.4555571284873	Perimeter: 276.2798497209351	Triangle@1b6d3586
Area = 2417.7570554668087	Perimeter: 224.16988362650244	Triangle@4554617c
Area = 4413.082924174262	Perimeter: 235.49190129826906	Circle@74a14482
Area = 6240.655312385489	Perimeter: 315.9912736107879	Square@1540e19d
Area = 9926.886767232896	Perimeter: 353.192494489657	Circle@677327b6
Area = 9704.994481270527	Perimeter: 394.0557215678113	Square@14ae5a5
Area = 1192.1140471278509	Perimeter: 157.4091013140726	Triangle@7f31245a
Area = 2132.9242291345563	Perimeter: 210.55165067666604	Triangle@6d6f6e28
Area = 13.756211658052663	Perimeter: 16.90909489408059	Triangle@135fbaa4
Area = 843.9591998765228	Perimeter: 102.98302816020907	Circle@45ee12a7
Area = 6.431162045708888	Perimeter: 10.143894357264482	Square@330bedb4
Area = 3519.9173178384895	Perimeter: 237.3155643555977	Square@2503dbd3
Area = 9493.508772161902	Perimeter: 389.7385538467941	Square@4b67cf4d
Area = 10148.75653669443	Perimeter: 357.11767796484463	Circle@7ea987ac
Area = 2103.4965194589086	Perimeter: 193.17618152500802	Rectangle@12a3a380
Area = 23261.256568500452	Perimeter: 540.6566109791625	Circle@29453f44
Area = 0.26820193858758146	Perimeter: 1.8358444813712154	Circle@5cad8086
Area = 4167.374999182152	Perimeter: 294.30810860951414	Triangle@6e0be858
Area = 3211.2268992013433	Perimeter: 258.34879084017996	Triangle@61bbe9ba
Area = 2861.8396948032596	Perimeter: 243.88977234439304	Triangle@610455d6
Area = 589.1248403305501	Perimeter: 110.65590750358058	Triangle@511d50c0
Area = 28.6021075425724	Perimeter: 139.9557066349851	Rectangle@60e53b93
Area = 60.50181306566143	Perimeter: 35.46133909142634	Triangle@5e2de80c
Area = 2203.760662468259	Perimeter: 187.77691711041626	Square@1d44bcfa
Area = 15077.635285488695	Perimeter: 435.2828425123027	Circle@266474c2
Area = 19548.91271573554	Perimeter: 495.6398715737985	Circle@6f94fa3e
Area = 1254.8199504115519	Perimeter: 149.5850029002292	Rectangle@5e481248
Area = 5911.645043340512	Perimeter: 307.7513235391796	Rectangle@66d3c617
Area = 7773.13778427112	Perimeter: 354.7087032225921	Rectangle@63947c6b
Area = 6095.453860872414	Perimeter: 314.1361336539112	Rectangle@2b193f2d
Area = 28.295378920403895	Perimeter: 21.277360332674313	Square@355da254
Area = 3657.3866983579446	Perimeter: 241.90532688166897	Square@4dc63996
Area = 1444.731778901874	Perimeter: 152.03850980074088	Square@d716361
Area = 462.9220514070123	Perimeter: 88.93439304610438	Rectangle@6ff3c5b5
Area = 2194.8784091362168	Perimeter: 187.398117776512	Square@3764951d
Area = 59.95750301295309	Perimeter: 30.97289215115775	Square@4b1210ee
Area = 326.1405535946279	Perimeter: 137.7398076301297	Rectangle@4d7e1886
Area = 3365.1413787744086	Perimeter: 250.80244142188099	Rectangle@3cd1a2f1
Area = 1595.3945732372376	Perimeter: 141.5920883504319	Circle@2f0e140b
Area = 4214.537379332067	Perimeter: 230.1335235830643	Circle@7440e464
Area = 8621.640879812787	Perimeter: 329.1545755410931	Circle@49476842
Area = 433.035114573191	Perimeter: 73.76774185752336	Circle@78308db1
Area = 1130.0887909996097	Perimeter: 134.73999974822	Rectangle@27c170f0
